iter	Passed	Remaining
0	0	347
1	1	327
2	1	320
3	2	316
4	3	309
5	4	334
6	4	324
7	5	318
8	5	312
9	6	307
10	6	303
11	7	294
12	7	292
13	8	290
14	8	288
15	9	286
16	10	286
17	10	285
18	11	283
19	11	281
20	12	279
21	12	278
22	13	277
23	13	276
24	14	274
25	15	273
26	15	272
27	16	272
28	16	271
29	17	270
30	17	272
31	18	271
32	19	269
33	19	269
34	20	268
35	20	267
36	21	267
37	21	267
38	22	267
39	23	267
40	23	267
41	24	266
42	25	267
43	25	267
44	26	266
45	26	266
46	27	265
47	28	264
48	28	264
49	29	263
50	29	262
51	30	261
52	30	260
53	31	259
54	32	259
55	32	258
56	33	257
57	33	257
58	34	257
59	34	256
60	35	255
61	36	255
62	36	254
63	37	253
64	37	253
65	38	252
66	38	251
67	39	250
68	40	250
69	40	249
70	41	248
71	41	247
72	42	246
73	42	246
74	43	245
75	43	244
76	44	244
77	45	243
78	45	242
79	46	242
80	46	241
81	47	240
82	47	240
83	48	239
84	48	238
85	49	238
86	50	237
87	50	236
88	51	236
89	51	235
90	52	234
91	52	234
92	53	233
93	53	232
94	54	232
95	54	231
96	55	230
97	56	229
98	56	229
99	57	228
100	57	228
101	58	227
102	58	226
103	59	226
104	59	225
105	60	224
106	61	224
107	61	223
108	62	223
109	62	222
110	63	222
111	63	221
112	64	220
113	65	220
114	65	219
115	66	219
116	66	218
117	67	217
118	67	217
119	68	216
120	68	215
121	69	215
122	70	214
123	70	214
124	71	213
125	71	212
126	72	212
127	72	211
128	73	211
129	73	210
130	74	209
131	75	209
132	75	208
133	76	208
134	76	207
135	77	206
136	77	206
137	78	205
138	79	205
139	79	204
140	80	204
141	80	203
142	81	203
143	81	202
144	82	201
145	83	201
146	83	200
147	84	200
148	84	199
149	85	199
150	85	198
151	86	198
152	87	197
153	87	197
154	88	196
155	88	196
156	89	196
157	90	195
158	91	195
159	91	194
160	92	194
161	92	193
162	93	192
163	93	192
164	94	191
165	95	191
166	95	190
167	96	190
168	96	189
169	97	189
170	97	188
171	98	187
172	99	187
173	99	186
174	100	186
175	100	185
176	101	185
177	102	185
178	102	184
179	103	184
180	104	183
181	104	183
182	105	182
183	106	182
184	106	181
185	107	181
186	108	180
187	108	180
188	109	179
189	109	179
190	110	178
191	111	178
192	111	177
193	112	177
194	112	176
195	113	175
196	114	176
197	115	175
198	115	174
199	116	174
